IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
LEM,147.5,-42.3,-133.37,-53.22,Lemont
RIK,143.76,43.48,-144.9,36.7,Rikubetsu
CLK,285,44.7,1.93,55.18,Clarkson
APL,283.12,39.17,-1.34,49.98,Applied Physics Lab
DSO,278.6,36.25,-7.99,47.45,Darsky
USC,278.54,33.34,-8.3,44.61,U of South Carolina
JAX,278.4,30.35,-8.73,41.7,Jacksonville
FIT,279.05,28.07,-8.04,39.47,Bullcreek
GTF,288.05,43.62,6.12,53.7,Grafton
MSH,288.52,42.6,6.64,52.64,Millstone Hill
FAR,352.98,62.05,77.61,60.53,Faroes
BOR,38.33,58.03,113.25,53.94,Borok
CRK,357.36,57.09,78.57,54.73,Crooktree
GML,356.32,57.16,77.78,54.9,Gleenmore Lodge
HLL,339.44,63.77,67.9,64.23,Hella
KVI,17.63,59.5,95.96,55.91,Kvistaberg
LAN,357.23,54.01,77.22,51.39,Lancaster
S01,13.36,64.37,94.91,61.26,Nordli
OUL,25.85,65.1,105.33,61.47,Oulu
YOR,358.95,53.95,78.57,51.18,York
PUT,290.5,-18.33,1.49,-5.65,Putre
ANT,289.76,-23.39,0.72,-10.39,Antofagasta
SER,288.87,-30,0.13,-16.58,La Serena
CER,289.4,-33.45,0.68,-19.84,Los Cerrillos
VLD,286.86,-39.48,-0.59,-25.44,Valdivia
OSO,286.91,-40.34,-0.46,-26.25,Osorno
PNT,289.1,-53.2,2.79,-38.45,Puerto Natales
ESC,301.08,-62.18,11.44,-47.4,Escudero
OHI,302.1,-63.32,12.23,-48.52,OHiggins
PAC,289.91,-40.34,1.55,-26.32,Punta Arenas
ENP,289.1,-52.13,2.6,-37.43,San Gregorio
FSJ,239.27,56.23,-63.96,62.18,Fort St. John
EDM,246.7,53.3,-53.86,60.8,Edmonton
FVE,243.98,58.37,-59.31,65.26,Fort Vermilion
LET,247.13,49.64,-52.15,57.21,Lethbridge
RED,246.16,52.14,-54.14,59.53,Red Deer
ROT,245.87,51.07,-54.14,58.39,Rothney
SAS,253.6,52.8,-44.74,61.64,Saskatoon
VLO,282.24,48.19,-1.75,58.91,Val-dOr
MCM,166.67,-77.85,-33.34,-79.93,McMurdo Station
SPA,0,-90,19.01,-74.08,South Pole Station
ELT,34.95,29.67,106.51,22.47,Eilat
